row_num,date,set_1,set_2,set_3,set_4,set_5,secs
0,9/1/15,58.3,91.3,91.1,179.5,0,420.2
1,9/5/15,57.4,80.1,98.6,98.6,92.3,427
2,9/6/15,43.8,90.2,109.3,117.7,88.8,449.8
3,9/7/15,46,106.4,231.1,0,0,383.5
4,9/10/15,44.1,93.5,104.2,117.7,104.1,463.6
5,9/14/15,37.8,110.8,114,209,0,471.6
6,9/16/15,40.1,83.4,87.9,107.4,97.4,416.2
7,9/21/15,36.9,79.8,90.6,99,90.2,396.5
8,9/22/15,42.5,92.3,114.3,127.1,92.5,468.7
9,9/23/15,37.2,81.1,91.1,99.8,76.8,386
10,9/24/15,32.5,71.4,86.2,115.6,82.1,387.8
11,9/26/15,34.1,87.9,93.7,105.7,85.1,406.5
12,9/28/15,32.9,70.1,97.8,86,83,369.8
13,9/29/15,32.1,75.7,88.6,83.4,82.2,362
14,9/30/15,32.8,77.5,86,91.5,73.2,361