Date	Set_1	Set_2	Set_3	Set_4	Set_5
9/1/15	0.138743455	0.217277487	0.216801523	0.427177535	0.0
9/5/15	0.13442623	0.187587822	0.230913349	0.230913349	0.216159251
9/6/15	0.097376612	0.20053357	0.242996888	0.261671854	0.197421076
9/7/15	0.119947849	0.277444589	0.602607562	0.0	0.0
9/10/15	0.095125108	0.201682485	0.224762726	0.253882657	0.224547023
9/14/15	0.080152672	0.234944869	0.24173028	0.44317218	0.0
9/16/15	0.09634791	0.200384431	0.21119654	0.258049015	0.234022105
9/21/15	0.093064313	0.201261034	0.228499369	0.249684741	0.227490542
9/22/15	0.090676339	0.196927672	0.243866012	0.271175592	0.197354384
9/23/15	0.096373057	0.210103627	0.236010363	0.258549223	0.198963731
9/24/15	0.083806086	0.184115523	0.222279526	0.2980918	0.211707065
9/26/15	0.083886839	0.216236162	0.230504305	0.2600246	0.209348093
9/28/15	0.088967009	0.189561925	0.26446728	0.23255814	0.224445646
9/29/15	0.088674033	0.209116022	0.244751381	0.23038674	0.227071823
9/30/15	0.090858726	0.21468144	0.238227147	0.253462604	0.202770083